speechid	speechpath	speaker_id	review_score	transcript	category	speaker_gender	speaker_age
0I2iIh7OSMdWhvb85tMp	audio/63a28877-988f-4f87-a6dd-f0d2b5c24944.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	42	അണ്ണാൻ മൂത്താലും മരം കേറ്റം മറക്കുമോ?	proverb	default	default
0Gbc6JQLVd6ah2P5Nz0D	audio/3f6ec7ce-e480-49ba-b53f-29990a3918e7.wav	6FzGR8AJFJSEml6AIs55fEgJmqX2	30	പാണ്ടൻ നായുടെ പല്ലിനു ശൗര്യം പണ്ടേപോല ഫലിയ്‌ക്കുന്നില്ല.	proverb	default	default
0PJKVqJsCFeIHKeeIgJ5	audio/1fa2ebd9-e49f-4d73-b4d0-6c8a69a88217.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	29	ചങ്ങലയ്ക്കു ഭ്രാന്തു പിടിച്ചാലോ?	proverb	default	default
12T1hc6IeB0OiiiBlSIF	audio/09706980-d14c-49e6-8b98-deeb4bee1a86.wav	Y3uj7LGGFGcrklUpQDW50rwa0hL2	29	അണ്ണാൻ കുഞ്ഞും തന്നാലായത്.	proverb	Male	20-30
0WTsBT8bYyLzb9mVDkEb	audio/b1b8f56c-7f2c-437d-972e-38d0c0720a5e.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	26	വിത്താഴം ചെന്നാൽ പത്തായം നിറയും.	proverb	default	default
17mCxsWVwP7UnMnE9ynK	audio/05922453-8273-431e-99a8-53682d738e21.wav	AzQ1CqU4MZXCAVzqDnLE50H72Jm1	25	സൂചികൊണ്ടെടുക്കേണ്ടത് തൂമ്പ കൊണ്ടെടുക്കരുത്.	proverb	default	default
1lD5g544GehzWPVTU3wB	audio/d19d960e-497e-4b8b-ae71-f28a102fe435.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	20	എന്റെ വീട് പാലക്കാട് ആണ്	default	Male	30-40
1SunHS8xbCCxofoEDyDC	audio/e59f195c-7efc-45b5-abfb-214aa9dd460d.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	18	ഗതികെട്ടാൽ പുലി പുല്ലും തിന്നും.	proverb	default	default
1eXpu6HCcODiLuBXsKfJ	audio/deef95a9-c11b-40bb-a382-4ea68d46b979.wav	g4eAoN3BEuVoazRlmPi4Ud2zTHd2	15	പൂച്ചയ്ക്കെന്ത് പൊന്നുരുക്കുന്നിടത്ത് കാര്യം?	proverb	default	default
3LUJUymJSHhzeXQX3cjV	audio/35434643-e157-42d5-af5a-ddcf2bbf8847.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	12	എന്റെ വീട് പാലക്കാട് ആണ്	default	Male	30-40
022Bgg06giNtYdeKfvOs	audio/cd7ec9d9-adb4-45d8-a299-a631e3252991.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	11	മുൻവിള പൊൻവിള.	proverb	Male	30-40
06o5F5pl9YRbHpSGQTKT	audio/a21ab006-57bd-485e-bc3c-e5aa70e02575.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	11	ആലിൻപഴം പഴുത്തപ്പോൾ കാക്കയ്ക്ക് വായപ്പുണ്ണ്.	proverb	Male	30-40
1IW7FI2MAdMXwK4WO8kh	audio/dcad3668-447c-4e67-bb93-a0ff66f3abdb.wav	rCdJt88sHhWxiP7X4sSEsWQB9gG3	9	ചെമ്മീൻ തുള്ളിയാൽ മുട്ടോളം പിന്നെയും തുള്ളിയാൽ ചട്ടീല്.	proverb	default	default
1ntpzFvTCMzBQzrwOcvB	audio/b686825f-788b-4e5b-a790-f15f287a21dd.wav	c2UZvQV9xbYfBUw847Pypqb5PsS2	9	ഐകമത്യം മഹാബലം.	default	Male	20-30
1sTzRUJU5spFGAzGFldd	audio/4994b2d9-d026-4de5-87ab-242334d10fb9.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	9	പൂച്ചയ്ക്കാര് മണികെട്ടും?	proverb	default	default
2ziDe8GUAd1AF0DKGvxG	audio/7f7024c6-234b-4356-931e-b2228dbb5a7e.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	9	ഇഷ്ടം മുറിക്കാൻ അർത്ഥം മഴു	proverb	Male	30-40
3PvGUGNnXkqZdIbratkq	audio/d3024b08-6cf8-4e95-9e68-540d12ba2a57.wav	59Tt9EuW2DOtyckjvkMVmuPqRW13	9	വിദ്യാധനം സർവ്വധനാൽ പ്രധാനം.	proverb	Male	30-40
0V8iGje3ybWQOdzpodHI	audio/52c2172e-6bc2-4254-9bc7-74456b594d45.wav	DKsIblxQIsWAb6JwK5L4nVNys3v1	8	പുര കത്തുമ്പോൾ വാഴവെട്ടുക.	proverb	default	default
26IosIqehaFEeCF70LVO	audio/ee733064-01a4-4d2c-80ad-30588df97178.wav	g4eAoN3BEuVoazRlmPi4Ud2zTHd2	8	പാണ്ടൻ നായുടെ പല്ലിനു ശൗര്യം പണ്ടേപോല ഫലിയ്‌ക്കുന്നില്ല.	proverb	default	default
1Va5xe7oU66KbncccqKm	audio/922770d0-6e97-4d35-8fdf-57cccc76a46e.wav	2dEDqqeI3PZx0m2D9EBHUn7noTM2	6	ഐക്യമത്യം മഹാബലം.	proverb	Male	30-40
2pIwJ4gxiisDqj9XptA8	audio/e460ed4c-24f5-4cab-b0f4-2a16527c78bd.wav	oeaNxrE0uxNSfoDpdrCYGBGC7uC3	6	കക്ഷത്തിലുള്ളത് പോകാനും പാടില്ല ഉത്തരത്തിലേത് ഏടുക്കുകയും വേണം.	proverb	default	default
6mu90XlAYCc036JM50uv	audio/cd311fa0-a8f9-4c05-a100-d0dc30214200.wav	rjh2u8PthLd9AuPARWuuiRcZKfp1	6	വേണമെങ്കിൽ ചക്ക വേരിലും കായ്ക്കും	default	Female	30-40
